seed,condition,m1_coverage,m2_unlearned_usage,m3_latency_cycles,m4_missed_actions_rate,m5_cpu_ms_per_tick,difficulty_proxy
0,baseline,0.6428571428571429,0.45,0.0,0.0,0.0013744999887421727,198.0
1,baseline,0.42105263157894735,0.45,0.0,0.0,0.001311999512836337,202.0
2,baseline,0.78125,0.225,0.0,0.0,0.0014122508582659066,293.0
3,baseline,0.6666666666666666,0.375,0.0,0.0,0.0012605005758814514,236.0
4,baseline,0.6388888888888888,0.475,0.0,0.0,0.0013544995454140007,145.0
5,baseline,0.78125,0.35,0.0,0.0,0.0012592499842867255,235.0
6,baseline,0.6153846153846154,0.47058823529411764,0.0,0.0,0.0013462509377859533,167.0
7,baseline,0.5625,0.47368421052631576,0.0,0.0,0.0014750001719221473,95.0
8,baseline,0.7333333333333333,0.39473684210526316,0.0,0.0,0.0014164994354359806,136.0
9,baseline,0.5882352941176471,0.2777777777777778,0.0,0.0,0.0012407501344569027,229.0
10,baseline,0.625,0.39473684210526316,0.0,0.0,0.0013324996689334512,191.0
11,baseline,0.7058823529411765,0.23684210526315788,0.0,0.0,0.0012277497444301844,266.0
12,baseline,0.53125,0.5555555555555556,0.0,0.0,0.001422750938218087,124.0
13,baseline,0.7777777777777778,0.225,0.0,0.0,0.0012860010610893369,234.0
14,baseline,0.6944444444444444,0.325,0.0,0.0,0.0013290002243593335,187.0
15,baseline,0.5769230769230769,0.5588235294117647,0.0,0.0,0.0013974998728372157,143.0
16,baseline,0.7333333333333333,0.25,0.0,0.0,0.0013210004544816911,188.0
17,baseline,0.5588235294117647,0.39473684210526316,0.0,0.0,0.0013069997658021748,196.0
18,baseline,0.6333333333333333,0.4722222222222222,0.0,0.0,0.0015542501932941377,63.0
19,baseline,0.7777777777777778,0.35,0.0,0.0,0.0013997501810081303,139.0
20,baseline,0.625,0.4722222222222222,0.0,0.0,0.0013977501657791436,140.0
21,baseline,0.6428571428571429,0.5,0.0,0.0,0.0013540004147216678,192.0
22,baseline,0.5357142857142857,0.4722222222222222,4.0,0.0,0.001409250544384122,131.0
23,baseline,0.38461538461538464,0.6944444444444444,0.0,0.0,0.0014870005543343723,76.0
24,baseline,0.6176470588235294,0.3,0.0,0.0,0.0012792495544999838,227.0
25,baseline,0.6333333333333333,0.3055555555555556,0.0,0.0,0.0013807506184093654,152.0
26,baseline,0.6666666666666666,0.21052631578947367,0.0,0.0,0.0011994998203590512,264.0
27,baseline,0.7368421052631579,0.275,0.0,0.0,0.0016319999122060835,228.0
28,baseline,0.7058823529411765,0.35,0.0,0.0,0.0015285005792975426,147.0
29,baseline,0.7352941176470589,0.4,0.0,0.0,0.0014844999532215297,166.0
30,baseline,0.7333333333333333,0.5555555555555556,0.0,0.0,0.0015852504293434322,65.0
31,baseline,0.59375,0.4722222222222222,0.5,0.0,0.0015407500904984772,135.0
32,baseline,0.6944444444444444,0.35,0.0,0.0,0.0013827503426000476,216.0
33,baseline,0.5625,0.3684210526315789,0.0,0.0,0.0014014996122568846,197.0
34,baseline,0.8823529411764706,0.2,0.0,0.0,0.0016597495414316654,177.0
35,baseline,0.59375,0.4444444444444444,0.0,0.0,0.0015104995691217482,179.0
36,baseline,0.8666666666666667,0.34210526315789475,0.0,0.0,0.0015032509691081941,189.0
37,baseline,0.7142857142857143,0.4444444444444444,0.0,0.0,0.001614000357221812,93.0
38,baseline,0.75,0.375,0.0,0.0,0.0014642492169514298,148.0
39,baseline,0.5,0.5588235294117647,0.0,0.0,0.0015607502427883446,68.0
40,baseline,0.5625,0.3333333333333333,0.0,0.0,0.0018097489373758435,215.0
41,baseline,0.59375,0.5,0.0,0.0,0.0015539996093139052,95.0
42,baseline,0.7631578947368421,0.2631578947368421,0.0,0.0,0.0013632493210025132,217.0
43,baseline,0.6388888888888888,0.375,0.0,0.0,0.0014832496526651084,152.0
44,baseline,0.6428571428571429,0.4444444444444444,0.0,0.0,0.0014560003182850778,129.0
45,baseline,0.625,0.3611111111111111,0.0,0.0,0.0014464996638707817,182.0
46,baseline,0.5357142857142857,0.625,0.0,0.0,0.001591750478837639,112.0
47,baseline,0.5833333333333334,0.3684210526315789,0.0,0.0,0.0015049998182803392,205.0
48,baseline,0.5588235294117647,0.4,0.0,0.0,0.001592999615240842,168.0
49,baseline,0.75,0.425,0.0,0.0,0.002302250068169087,152.0
