seed,condition,m1_coverage,m2_unlearned_usage,m3_latency_cycles,m4_missed_actions_rate,m5_cpu_ms_per_tick,difficulty_proxy
0,memory,0.43333333333333335,0.0,2.5,0.0,0.0016832500114105642,4.0
1,memory,0.75,0.0,1.0,0.0,0.0014927505981177092,87.0
2,memory,0.4,0.0,1.0,0.0,0.0015505001647397876,13.0
3,memory,0.4666666666666667,0.0,1.0,0.0,0.001558748772367835,23.0
4,memory,0.6666666666666666,0.0,1.0,0.0,0.0013792503159493208,138.0
5,memory,0.5625,0.0,1.0,0.0,0.0015329994494095445,18.0
6,memory,0.40625,0.0,1.0,0.0,0.0014932497288100421,55.0
7,memory,0.75,0.0,1.0,0.0,0.0015425006859004498,52.0
8,memory,0.7,0.0,1.0,0.0,0.0015444998280145228,111.0
9,memory,0.5,0.0,1.0,0.0,0.0016719999257475138,22.0
10,memory,0.6470588235294118,0.0,1.0,0.0,0.0015840004198253155,66.0
11,memory,0.5588235294117647,0.0,1.0,0.0,0.001463249500375241,153.0
12,memory,0.6052631578947368,0.0,1.0,0.0,0.0016957503976300359,22.0
13,memory,0.59375,0.0,1.0,0.0,0.0021957498393021524,139.0
14,memory,0.7,0.0,1.0,0.0,0.0018657511100172997,87.0
15,memory,0.42857142857142855,0.0,2.0,0.0,0.001657249522395432,14.0
16,memory,0.5333333333333333,0.0,2.0,0.0,0.0016885000513866544,4.0
17,memory,0.5625,0.0,2.0,0.0,0.0016147489077411592,57.0
18,memory,0.5769230769230769,0.0,1.0,0.0,0.0016432497068308294,34.0
19,memory,0.5,0.0,5.0,0.0,0.0017172496882267296,0.0
20,memory,0.6333333333333333,0.0,2.0,0.0,0.00168225058587268,1.0
21,memory,0.65625,0.0,1.0,0.0,0.0015782503760419786,33.0
22,memory,0.65625,0.0,2.0,0.0,0.0013939995551481843,143.0
23,memory,0.6875,0.0,2.0,0.0,0.0013617504737339914,156.0
24,memory,0.6176470588235294,0.0,2.0,0.0,0.0015499995788559318,25.0
25,memory,0.4642857142857143,0.0,3.0,0.0,0.0015485004405491054,23.0
26,memory,0.5,0.0,3.0,0.0,0.0014794996241107583,61.0
27,memory,0.5588235294117647,0.0,1.5,0.0,0.0016077500185929239,42.0
28,memory,0.6875,0.0,2.0,0.0,0.0013835006393492222,136.0
29,memory,0.6388888888888888,0.0,1.0,0.0,0.0012687500566244125,225.0
30,memory,0.75,0.0,2.0,0.0,0.001548749569337815,32.0
31,memory,0.7352941176470589,0.0,2.5,0.0,0.0013605004642158747,176.0
32,memory,0.6,0.0,1.0,0.0,0.0014950003242120147,65.0
33,memory,0.5357142857142857,0.0,2.0,0.0,0.0015532493125647306,8.0
34,memory,0.5,0.0,4.0,0.0,0.0017767501412890851,0.0
35,memory,0.6333333333333333,0.0,1.0,0.0,0.001588500163052231,71.0
36,memory,0.5,0.0,1.0,0.0,0.0016127500566653907,7.0
37,memory,0.53125,0.0,1.0,0.0,0.0014927500160411,75.0
38,memory,0.25,0.0,3.0,0.0,0.0015395012451335788,17.0
39,memory,0.71875,0.0,1.0,0.0,0.0015705006080679595,29.0
40,memory,0.7058823529411765,0.0,1.0,0.0,0.001560501113999635,25.0
41,memory,0.6153846153846154,0.0,2.0,0.0,0.0015609990805387497,24.0
42,memory,0.46875,0.0,1.0,0.0,0.0015467515913769603,35.0
43,memory,0.39285714285714285,0.0,1.0,0.0,0.0015690005966462195,20.0
44,memory,0.6388888888888888,0.0,1.0,0.0,0.001488749694544822,69.0
45,memory,0.5357142857142857,0.0,1.0,0.0,0.0014735007425770164,66.0
46,memory,0.6538461538461539,0.0,2.0,0.0,0.0015382500714622438,18.0
47,memory,0.7222222222222222,0.0,1.0,0.0,0.0013344993931241333,193.0
48,memory,0.6111111111111112,0.0,1.0,0.0,0.0014762498904019594,66.0
49,memory,0.5,0.0,4.5,0.0,0.0016015002620406449,44.0
